1	0	0	0	350	0	0
2	43.5	0	0	350	0	0
3	68.5	0	0	350	0	0
4	88.5	0	0	350	0	0
5	108.5	0	0	350	0	0
6	128.5	0	0	350	0	0
7	136	0	0	350	0	0
8	143.5	0	0	350	0	0
9	151	0	0	350	0	0
10	158.5	0	0	350	0	0
11	166	0	0	350	0	0
12	173.5	0	0	350	0	0
13	181	0	0	350	0	0
14	188.5	0	0	350	0	0
15	196	0	0	350	0	0
16	203.5	0	0	350	0	0
17	211	0	0	350	0	0
18	218.5	0	0	350	0	0
19	226	0	0	350	0	0
20	233.5	0	0	350	0	0
21	241	0	0	350	0	0
22	248.5	0	0	350	0	0
23	256	0	0	350	0	0
24	263.5	0	0	350	0	0
25	271	0	0	350	0	0
26	277	0	0	350	0	0
27	283	0	0	350	0	0
28	288.5	0	0	350	0	0
29	294	0	0	350	0	0
30	300	0	0	350	0	0
31	306	0	0	350	0	0
32	313.5	0	0	350	0	0
33	321	0	0	350	0	0
34	328.5	0	0	350	0	0
35	336	0	0	350	0	0
36	343.5	0	0	350	0	0
37	351	0	0	350	0	0
38	358.5	0	0	350	0	0
39	366	0	0	350	0	0
40	373.5	0	0	350	0	0
41	381	0	0	350	0	0
42	388.5	0	0	350	0	0
43	396	0	0	350	0	0
44	403.5	0	0	350	0	0
45	411	0	0	350	0	0
46	418.5	0	0	350	0	0
47	426	0	0	350	0	0
48	433.5	0	0	350	0	0
49	441	0	0	350	0	0
50	448.5	0	0	350	0	0
51	468.5	0	0	350	0	0
52	488.5	0	0	350	0	0
53	508.5	0	0	350	0	0
54	533.5	0	0	350	0	0
55	577	0	0	350	0	0
56	0	31	0	350	0	0
57	43.5	31	0	350	0	0
58	68.5	31	0	350	0	0
59	88.5	31	0	350	0	0
60	108.5	31	0	350	0	0
61	128.5	31	0	350	0	0
62	136	31	0	350	0	0
63	143.5	31	0	350	0	0
64	151	31	0	350	0	0
65	158.5	31	0	350	0	0
66	166	31	0	350	0	0
67	173.5	31	0	350	0	0
68	181	31	0	350	0	0
69	188.5	31	0	350	0	0
70	196	31	0	350	0	0
71	203.5	31	0	350	0	0
72	211	31	0	350	0	0
73	218.5	31	0	350	0	0
74	226	31	0	350	0	0
75	233.5	31	0	350	0	0
76	241	31	0	350	0	0
77	248.5	31	0	350	0	0
78	256	31	0	350	0	0
79	263.5	31	0	350	0	0
80	271	31	0	350	0	0
81	277	31	0	350	0	0
82	283	31	0	350	0	0
83	288.5	31	0	350	0	0
84	294	31	0	350	0	0
85	300	31	0	350	0	0
86	306	31	0	350	0	0
87	313.5	31	0	350	0	0
88	321	31	0	350	0	0
89	328.5	31	0	350	0	0
90	336	31	0	350	0	0
91	343.5	31	0	350	0	0
92	351	31	0	350	0	0
93	358.5	31	0	350	0	0
94	366	31	0	350	0	0
95	373.5	31	0	350	0	0
96	381	31	0	350	0	0
97	388.5	31	0	350	0	0
98	396	31	0	350	0	0
99	403.5	31	0	350	0	0
100	411	31	0	350	0	0
101	418.5	31	0	350	0	0
102	426	31	0	350	0	0
103	433.5	31	0	350	0	0
104	441	31	0	350	0	0
105	448.5	31	0	350	0	0
106	468.5	31	0	350	0	0
107	488.5	31	0	350	0	0
108	508.5	31	0	350	0	0
109	533.5	31	0	350	0	0
110	577	31	0	350	0	0
111	0	51	0	350	0	0
112	43.5	51	0	350	0	0
113	68.5	51	0	350	0	0
114	88.5	51	0	350	0	0
115	108.5	51	0	350	0	0
116	128.5	51	0	350	0	0
117	136	51	0	350	0	0
118	143.5	51	0	350	0	0
119	151	51	0	350	0	0
120	158.5	51	0	350	0	0
121	166	51	0	350	0	0
122	173.5	51	0	350	0	0
123	181	51	0	350	0	0
124	188.5	51	0	350	0	0
125	196	51	0	350	0	0
126	203.5	51	0	350	0	0
127	211	51	0	350	0	0
128	218.5	51	0	350	0	0
129	226	51	0	350	0	0
130	233.5	51	0	350	0	0
131	241	51	0	350	0	0
132	248.5	51	0	350	0	0
133	256	51	0	350	0	0
134	263.5	51	0	350	0	0
135	271	51	0	350	0	0
136	277	51	0	350	0	0
137	283	51	0	350	0	0
138	288.5	51	0	350	0	0
139	294	51	0	350	0	0
140	300	51	0	350	0	0
141	306	51	0	350	0	0
142	313.5	51	0	350	0	0
143	321	51	0	350	0	0
144	328.5	51	0	350	0	0
145	336	51	0	350	0	0
146	343.5	51	0	350	0	0
147	351	51	0	350	0	0
148	358.5	51	0	350	0	0
149	366	51	0	350	0	0
150	373.5	51	0	350	0	0
151	381	51	0	350	0	0
152	388.5	51	0	350	0	0
153	396	51	0	350	0	0
154	403.5	51	0	350	0	0
155	411	51	0	350	0	0
156	418.5	51	0	350	0	0
157	426	51	0	350	0	0
158	433.5	51	0	350	0	0
159	441	51	0	350	0	0
160	448.5	51	0	350	0	0
161	468.5	51	0	350	0	0
162	488.5	51	0	350	0	0
163	508.5	51	0	350	0	0
164	533.5	51	0	350	0	0
165	577	51	0	350	0	0
166	0	71	0	350	0	0
167	43.5	71	0	350	0	0
168	68.5	71	0	350	0	0
169	88.5	71	0	350	0	0
170	108.5	71	0	350	0	0
171	128.5	71	0	350	0	0
172	136	71	0	350	0	0
173	143.5	71	0	350	0	0
174	151	71	0	350	0	0
175	158.5	71	0	350	0	0
176	166	71	0	350	0	0
177	173.5	71	0	350	0	0
178	181	71	0	350	0	0
179	188.5	71	0	350	0	0
180	196	71	0	350	0	0
181	203.5	71	0	350	0	0
182	211	71	0	350	0	0
183	218.5	71	0	350	0	0
184	226	71	0	350	0	0
185	233.5	71	0	350	0	0
186	241	71	0	350	0	0
187	248.5	71	0	350	0	0
188	256	71	0	350	0	0
189	263.5	71	0	350	0	0
190	271	71	0	350	0	0
191	277	71	0	350	0	0
192	283	71	0	350	0	0
193	288.5	71	0	350	0	0
194	294	71	0	350	0	0
195	300	71	0	350	0	0
196	306	71	0	350	0	0
197	313.5	71	0	350	0	0
198	321	71	0	350	0	0
199	328.5	71	0	350	0	0
200	336	71	0	350	0	0
201	343.5	71	0	350	0	0
202	351	71	0	350	0	0
203	358.5	71	0	350	0	0
204	366	71	0	350	0	0
205	373.5	71	0	350	0	0
206	381	71	0	350	0	0
207	388.5	71	0	350	0	0
208	396	71	0	350	0	0
209	403.5	71	0	350	0	0
210	411	71	0	350	0	0
211	418.5	71	0	350	0	0
212	426	71	0	350	0	0
213	433.5	71	0	350	0	0
214	441	71	0	350	0	0
215	448.5	71	0	350	0	0
216	468.5	71	0	350	0	0
217	488.5	71	0	350	0	0
218	508.5	71	0	350	0	0
219	533.5	71	0	350	0	0
220	577	71	0	350	0	0
221	0	91	0	350	0	0
222	43.5	91	0	350	0	0
223	68.5	91	0	350	0	0
224	88.5	91	0	350	0	0
225	108.5	91	0	350	0	0
226	128.5	91	0	350	0	0
227	136	91	0	350	0	0
228	143.5	91	0	350	0	0
229	151	91	0	350	0	0
230	158.5	91	0	350	0	0
231	166	91	0	350	0	0
232	173.5	91	0	350	0	0
233	181	91	0	350	0	0
234	188.5	91	0	350	0	0
235	196	91	0	350	0	0
236	203.5	91	0	350	0	0
237	211	91	0	350	0	0
238	218.5	91	0	350	0	0
239	226	91	0	350	0	0
240	233.5	91	0	350	0	0
241	241	91	0	350	0	0
242	248.5	91	0	350	0	0
243	256	91	0	350	0	0
244	263.5	91	0	350	0	0
245	271	91	0	350	0	0
246	277	91	0	350	0	0
247	283	91	0	350	0	0
248	288.5	91	0	350	0	0
249	294	91	0	350	0	0
250	300	91	0	350	0	0
251	306	91	0	350	0	0
252	313.5	91	0	350	0	0
253	321	91	0	350	0	0
254	328.5	91	0	350	0	0
255	336	91	0	350	0	0
256	343.5	91	0	350	0	0
257	351	91	0	350	0	0
258	358.5	91	0	350	0	0
259	366	91	0	350	0	0
260	373.5	91	0	350	0	0
261	381	91	0	350	0	0
262	388.5	91	0	350	0	0
263	396	91	0	350	0	0
264	403.5	91	0	350	0	0
265	411	91	0	350	0	0
266	418.5	91	0	350	0	0
267	426	91	0	350	0	0
268	433.5	91	0	350	0	0
269	441	91	0	350	0	0
270	448.5	91	0	350	0	0
271	468.5	91	0	350	0	0
272	488.5	91	0	350	0	0
273	508.5	91	0	350	0	0
274	533.5	91	0	350	0	0
275	577	91	0	350	0	0
276	0	101	0	350	0	0
277	43.5	101	0	350	0	0
278	68.5	101	0	350	0	0
279	88.5	101	0	350	0	0
280	108.5	101	0	350	0	0
281	128.5	101	0	350	0	0
282	136	101	0	350	0	0
283	143.5	101	0	350	0	0
284	151	101	0	350	0	0
285	158.5	101	0	350	0	0
286	166	101	0	350	0	0
287	173.5	101	0	350	0	0
288	181	101	0	350	0	0
289	188.5	101	0	350	0	0
290	196	101	0	350	0	0
291	203.5	101	0	350	0	0
292	211	101	0	350	0	0
293	218.5	101	0	350	0	0
294	226	101	0	350	0	0
295	233.5	101	0	350	0	0
296	241	101	0	350	0	0
297	248.5	101	0	350	0	0
298	256	101	0	350	0	0
299	263.5	101	0	350	0	0
300	271	101	0	350	0	0
301	277	101	0	350	0	0
302	283	101	0	350	0	0
303	288.5	101	0	350	0	0
304	294	101	0	350	0	0
305	300	101	0	350	0	0
306	306	101	0	350	0	0
307	313.5	101	0	350	0	0
308	321	101	0	350	0	0
309	328.5	101	0	350	0	0
310	336	101	0	350	0	0
311	343.5	101	0	350	0	0
312	351	101	0	350	0	0
313	358.5	101	0	350	0	0
314	366	101	0	350	0	0
315	373.5	101	0	350	0	0
316	381	101	0	350	0	0
317	388.5	101	0	350	0	0
318	396	101	0	350	0	0
319	403.5	101	0	350	0	0
320	411	101	0	350	0	0
321	418.5	101	0	350	0	0
322	426	101	0	350	0	0
323	433.5	101	0	350	0	0
324	441	101	0	350	0	0
325	448.5	101	0	350	0	0
326	468.5	101	0	350	0	0
327	488.5	101	0	350	0	0
328	508.5	101	0	350	0	0
329	533.5	101	0	350	0	0
330	577	101	0	350	0	0
331	0	108.5	0	350	0	0
332	43.5	108.5	0	350	0	0
333	68.5	108.5	0	350	0	0
334	88.5	108.5	0	350	0	0
335	108.5	108.5	0	350	0	0
336	128.5	108.5	0	350	0	0
337	136	108.5	0	350	0	0
338	143.5	108.5	0	350	0	0
