1	8							
19429	Pie_1	5	356.4850731483379	0	0	0	0	0
40924	Pie_2	5	351.24950744398467	0	0	0	0	0
37954	Pie_3	5	350.55537306567675	0	0	0	0	0
28669	Pie_4	5	351.1772148936683	0	0	0	0	0
28697	Pie_5	5	351.32019932482825	0	0	0	0	0
38002	Pie_6	5	351.3826778999289	0	0	0	0	0
40972	Pie_7	5	351.7111225789219	0	0	0	0	0
19457	Pie_8	5	356.98435815035793	0	0	0	0	0
2	8							
19429	Pie_1	5	357.17172584742735	0	0	0	0	0
40924	Pie_2	5	353.6242928724274	0	0	0	0	0
37954	Pie_3	5	351.9416588165888	0	0	0	0	0
28669	Pie_4	5	351.51874773880076	0	0	0	0	0
28697	Pie_5	5	350.8464614491064	0	0	0	0	0
38002	Pie_6	5	350.5191985485259	0	0	0	0	0
40972	Pie_7	5	350.4546446239724	0	0	0	0	0
19457	Pie_8	5	351.9424349924817	0	0	0	0	0
3	8							
19429	Pie_1	5	353.2236201786619	0	0	0	0	0
40924	Pie_2	5	353.3961218714495	0	0	0	0	0
37954	Pie_3	5	354.8732633324369	0	0	0	0	0
28669	Pie_4	5	353.16677755696827	0	0	0	0	0
28697	Pie_5	5	351.2327670231087	0	0	0	0	0
38002	Pie_6	5	350.63198702092023	0	0	0	0	0
40972	Pie_7	5	350.4176711789622	0	0	0	0	0
19457	Pie_8	5	351.2885724783786	0	0	0	0	0
4	8							
19429	Pie_1	5	351.9034643706334	0	0	0	0	0
40924	Pie_2	5	352.040031351513	0	0	0	0	0
37954	Pie_3	5	355.5490807543428	0	0	0	0	0
28669	Pie_4	5	355.77508500205937	0	0	0	0	0
28697	Pie_5	5	352.05008164009894	0	0	0	0	0
38002	Pie_6	5	350.8779079798911	0	0	0	0	0
40972	Pie_7	5	350.4853249655627	0	0	0	0	0
19457	Pie_8	5	351.09915842263536	0	0	0	0	0
5	8							
19429	Pie_1	5	351.3294136901879	0	0	0	0	0
40924	Pie_2	5	350.76544377165607	0	0	0	0	0
37954	Pie_3	5	351.36185520124513	0	0	0	0	0
28669	Pie_4	5	356.25448039193003	0	0	0	0	0
28697	Pie_5	5	356.35429055359776	0	0	0	0	0
38002	Pie_6	5	352.3166778364581	0	0	0	0	0
40972	Pie_7	5	351.0728646906025	0	0	0	0	0
19457	Pie_8	5	351.6428442465553	0	0	0	0	0
6	7							
19429	Pie_1	5	351.08011234545	0	0	0	0	0
40924	Pie_2	5	350.4798495890564	0	0	0	0	0
28669	Pie_4	5	351.8368556873925	0	0	0	0	0
28697	Pie_5	5	357.0921919825849	0	0	0	0	0
38002	Pie_6	5	357.273924682392	0	0	0	0	0
40972	Pie_7	5	352.8654585107681	0	0	0	0	0
19457	Pie_8	5	352.4683112618157	0	0	0	0	0
7	8							
19429	Pie_1	5	351.35161054687467	0	0	0	0	0
40924	Pie_2	5	350.429215622407	0	0	0	0	0
37954	Pie_3	5	350.291179282993	0	0	0	0	0
28669	Pie_4	5	351.2000252045482	0	0	0	0	0
28697	Pie_5	5	353.99878985439307	0	0	0	0	0
38002	Pie_6	5	356.3588358378095	0	0	0	0	0
40972	Pie_7	5	354.3636144479181	0	0	0	0	0
19457	Pie_8	5	353.8592118687853	0	0	0	0	0
8	8							
19429	Pie_1	5	352.0727842944656	0	0	0	0	0
40924	Pie_2	5	350.4836696535704	0	0	0	0	0
37954	Pie_3	5	350.2439399389096	0	0	0	0	0
28669	Pie_4	5	351.0437680404081	0	0	0	0	0
28697	Pie_5	5	352.23053232429424	0	0	0	0	0
38002	Pie_6	5	353.7778341273732	0	0	0	0	0
40972	Pie_7	5	354.88158007008445	0	0	0	0	0
19457	Pie_8	5	357.09709507638297	0	0	0	0	0
